,SMILES,Experimental value
350,O=P(O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)C,0
351,O=P(O)(OCC1OC(O)C(O)C1(O))OP(=O)(O)OCC4OC(n3cnc2c(ncnc23)N)C(O)C4(O),0
352,O=P(O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)C,0
353,O=P(O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
354,O=C(CCCCCCCC=CCCCCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
355,O=C(C=CC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
356,O=P(O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
357,O=C(CCCCCCCC=CCC=CCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
358,O=C(CCCCC=CCC=CCC=CCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
359,O=C(C=CCCCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
360,O=P(O)(O)OC3C(O)C(OC3(n2cnc1c(ncnc12)N))COP(=O)(O)OP(=O)(O)OCC5OC(N4C=CCC(=C4)C(=N)O)C(O)C5(O),0
361,O=P3(O)(OCC4OC(n2cnc1c(ncnc12)N)C(O)C4(O3)),0
362,O=C(C)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
363,[SeH2],0
364,O=C([O-])C(N)CS(=O)O,0
365,O=P(O)(O)OP(=O)(O)OCC=C(C)C,0
366,O=P(O)(O)OCC2OC(n1cnc(C(=N)O)c1(N))C(O)C2(O),0
367,O=C(CCCCCCCCCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
368,O=P(O)(O)OC1OC(C)C(O)C(O)C1(O),0
369,O=C(CO)COP(=O)(O)O,0
370,O=P(O)(O)OC1C(O)C(OC1(COP(=O)(O)OP(=O)(O)OCC(C)(C)C(O)C(O)=NCCC(O)=NCCS))n3cnc2c(ncnc23)N,0
371,O=CC(O)C(O)COP(=O)(O)O,0
372,O=C2CCC3C4CCc1cc(OS(=O)(=O)O)ccc1C4(CCC23(C)),0
373,O=C2N=C(O)C3=Nc1cc(c(cc1N(C3(=N2))CC(O)C(O)C(O)COP(=O)(O)O)C)C,0
374,O=P(O)(O)OCC3OC(n2cnc1c(O)nc(O)nc12)C(O)C3(O),0
375,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1(O),0
376,II,0
377,O=P(O)(O)OCC3OC(n2cnc1c(O)ncnc12)C(O)C3(O),0
378,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1(OP(=O)(O)O),0
379,O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O,0
380,O=C(O)CN(C(=N)NP(=O)(O)O)C,0
381,O=P(O)(O)OCC1OC(NC(=N)CN=CO)C(O)C1(O),0
382,O=P(O)(O)OCC(C)(C)C(O)C(O)=NCCC(O)=NCCS,0
383,O=P(O)(O)OCC[N+](C)(C)C,0
384,O=C(O)CNC,0
385,NCCCNCCCCN,0
386,NCCCNCCCCNCCCN,0
387,O=C(O)c1ccc[n+](c1)C2OC(COP(=O)(O)O)C(O)C2(O),0
388,O=CCCC[N+](C)(C)C,0
389,O=P([O-])(O)OCC2OC([n+]1cccc(c1)C(=N)O)C(O)C2(O),0
390,O=C(O)c1ccc[n+](c1)C5OC(COP(=O)(O)OP(=O)(O)OCC4OC(n3cnc2c(ncnc23)N)C(O)C4(O))C(O)C5(O),0
391,O=C(OCC[N+](C)(C)C)C,0
392,O=C([O-])C[N+](C)(C)C,0
393,O=CC[N+](C)(C)C,0
394,OCC[N+](C)(C)C,0
395,O=P(O)(OCC[N+](C)(C)C)OCC(O)CO,0
396,O=C(O)C(N)C(O)CCC[N+](C)(C)C,0
397,O=C([O-])C(N)CCCC[N+](C)(C)C,0
398,N=C(O)c1ccc[n+](c1)C,0
399,O=P(O)(O)OC3C(O)C(OC3(n2cnc1c(ncnc12)N))COP(=O)(O)OP(=O)(O)OCC5OC([n+]4cccc(c4)C(=N)O)C(O)C5(O),0
400,O=P(O)(OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O))OP(=O)(O)OCC5OC([n+]4cccc(c4)C(=N)O)C(O)C5(O),0
401,O=C(O)CC(O)C[N+](C)(C)C,0
402,O=C(O)CCCC=CCC1C(C=CC(O)CCCCC)C(=O)CC1(O),0
